,Country Name,year,gini,gdp,gini_index,gdp_index
0,United Kingdom,1968-01-01,26.8,107759910067.889,1.0,1.0
1,United Kingdom,1969-01-01,27.9,116464702803.218,1.0410447761194028,1.0807795100222797
2,United Kingdom,1970-01-01,28.0,130671946244.3,1.044776119402985,1.2126211516135859
3,United Kingdom,1971-01-01,29.3,148113896325.14,1.0932835820895523,1.3744805116469372
4,United Kingdom,1972-01-01,28.8,169965034965.035,1.0746268656716418,1.5772566519214484
5,United Kingdom,1973-01-01,28.8,192537971582.558,1.0746268656716418,1.7867309972814438
6,United Kingdom,1974-01-01,29.0,206131369798.971,1.0820895522388059,1.9128762233478827
7,United Kingdom,1975-01-01,27.9,241756637168.142,1.0410447761194028,2.243474748780272
8,United Kingdom,1976-01-01,27.6,232614555256.065,1.0298507462686568,2.158637243753426
9,United Kingdom,1977-01-01,27.1,263066457352.172,1.0111940298507462,2.4412275138912003
10,United Kingdom,1978-01-01,27.2,335883029721.956,1.0149253731343284,3.1169572200862907
11,United Kingdom,1979-01-01,27.4,438994070309.191,1.0223880597014925,4.073816227506349
12,United Kingdom,1980-01-01,28.5,564947710899.373,1.0634328358208955,5.242652026560291
13,United Kingdom,1981-01-01,29.7,540765675241.158,1.1082089552238805,5.018245420773591
14,United Kingdom,1982-01-01,29.9,515048916841.37,1.1156716417910446,4.7795967583574255
15,United Kingdom,1983-01-01,29.8,489618008185.539,1.1119402985074627,4.543600749825036
16,United Kingdom,1984-01-01,29.2,461487097632.349,1.0895522388059702,4.282549023487594
17,United Kingdom,1985-01-01,30.4,489285164271.047,1.1343283582089552,4.540511995256828
18,United Kingdom,1986-01-01,31.9,601452653180.885,1.1902985074626864,5.581413837501984
19,United Kingdom,1987-01-01,33.9,745162608269.325,1.2649253731343282,6.9150262634765625
20,United Kingdom,1988-01-01,34.3,910122732123.799,1.2798507462686566,8.445837896026633
21,United Kingdom,1989-01-01,33.4,926884816753.927,1.2462686567164178,8.601388180168184
22,United Kingdom,1990-01-01,35.7,1093169389204.55,1.332089552238806,10.144490548626578
23,United Kingdom,1991-01-01,35.0,1142797178130.51,1.3059701492537312,10.605030919295915
24,United Kingdom,1992-01-01,35.0,1179659529659.53,1.3059701492537312,10.947109448368522
25,United Kingdom,1993-01-01,35.1,1061388722255.55,1.3097014925373134,9.849569488197165
26,United Kingdom,1994-01-01,36.0,1140489745944.29,1.3432835820895521,10.58361820482013
27,United Kingdom,1995-01-01,35.5,1344240176739.78,1.3246268656716418,12.474399578590084
28,United Kingdom,1996-01-01,35.3,1419645865834.63,1.3171641791044775,13.174156000503801
29,United Kingdom,1997-01-01,35.7,1560911918795.02,1.332089552238806,14.485089286095745
30,United Kingdom,1998-01-01,36.6,1653694932096.72,1.3656716417910448,15.346105347108104
31,United Kingdom,1999-01-01,36.8,1687830448147.55,1.373134328358209,15.66287914572509
32,United Kingdom,2000-01-01,38.8,1665534876683.31,1.4477611940298507,15.45597871818953
33,United Kingdom,2001-01-01,37.1,1649827263567.01,1.3843283582089552,15.31021381261004
34,United Kingdom,2002-01-01,35.1,1785729916067.15,1.3097014925373134,16.57137533747138
35,United Kingdom,2003-01-01,34.9,2054422857142.86,1.302238805970149,19.064815995564295
36,United Kingdom,2004-01-01,34.8,2421525082387.4,1.298507462686567,22.471483883587442
37,United Kingdom,2005-01-01,35.5,2543180000000.0,1.3246268656716418,23.600428010730433
38,United Kingdom,2006-01-01,35.9,2708441582336.71,1.33955223880597,25.134037144522345
39,United Kingdom,2007-01-01,34.4,3090510204081.63,1.2835820895522387,28.679591530232354
40,United Kingdom,2008-01-01,35.4,2929411764705.88,1.3208955223880596,27.184615900851654
41,United Kingdom,2009-01-01,35.1,2412840006231.5,1.3097014925373134,22.390887341232975
42,United Kingdom,2010-01-01,33.7,2485482596184.71,1.2574626865671643,23.065002509920895
43,United Kingdom,2011-01-01,33.2,2663805834828.07,1.2388059701492538,24.719822363900132
44,United Kingdom,2012-01-01,33.1,2707089726614.64,1.2350746268656716,25.121492073528707
45,United Kingdom,2013-01-01,32.7,2784853502534.29,1.2201492537313434,25.843131279339648
46,United Kingdom,2014-01-01,33.1,3064708247921.43,1.2350746268656716,28.440152242059746
47,United Kingdom,2015-01-01,33.3,2927911140916.73,1.2425373134328357,27.1706902787144
48,United Kingdom,2016-01-01,33.1,2689106566899.61,1.2350746268656716,24.954610348184833
49,United Kingdom,2017-01-01,32.6,2680148052335.3,1.2164179104477613,24.871476327762338
50,United Kingdom,2018-01-01,33.7,2871340347581.79,1.2574626865671643,26.645719598066094
51,United Kingdom,2019-01-01,32.8,2851407164907.81,1.2238805970149251,26.460741876189545
52,United Kingdom,2020-01-01,32.6,2696778386607.65,1.2164179104477613,25.025803983212985
53,United Kingdom,2021-01-01,32.4,3143323050707.26,1.208955223880597,29.169688882692633
