,Area,Water Stress,GDP_percap,HDI,Average Annual Temp
0,Afghanistan,54.757019438,516.866543,0.496,13.39
1,Albania,4.723557692,5278.222282,0.791,13.56
2,Algeria,137.920360208,3354.153164,0.759,24.44
3,Angola,1.871883289,1750.204252,0.574,23.49
4,Antigua and Barbuda,8.461538461,14788.395191,0.776,26.76
5,Argentina,10.456664077,8560.70994,0.83,15.76
6,Armenia,57.090982449,4505.867744,0.76,7.91
7,Australia,3.486127865,55774.158298,0.938,23.17
8,Australia and New Zealand,5.09,,,
9,Austria,8.676429953,48859.018137,0.914,7.72
10,Azerbaijan,53.888628836,4151.016373,0.754,13.38
11,Bahrain,133.706896552,23501.91514,0.838,27.22
12,Bangladesh,5.723339482,2231.271634,0.614,26.05
13,Barbados,87.5,16643.806579,0.813,26.95
14,Belarus,4.377059987,6370.492501,0.817,8.03
15,Belgium,51.87960688,45426.800422,0.919,10.91
16,Belize,1.260294485,5267.280892,0.72,26.5
17,Benin,0.975243811,1240.733155,0.52,28.52
18,Bhutan,1.413807531,2997.306607,0.617,10.35
19,Bolivia (Plurinational State of),1.245288557,3068.812555,0.703,21.72
20,Bosnia and Herzegovina,1.999521912,6012.166078,0.769,11.2
21,Botswana,2.305004706,5863.182051,0.728,23.31
22,Brazil,1.479304271,6794.515851,0.761,26.31
23,Brunei Darussalam,3.466465712,27179.282404,0.845,27.29
24,Bulgaria,37.519402764,10064.072069,0.816,12.6
25,Burkina Faso,7.820267686,833.244336,0.434,29.49
26,Burundi,10.19286754,295.831964,0.423,21.4
27,Cabo Verde,68.943736667,2924.100515,0.651,23.84
28,Cambodia,1.03654485,1542.444792,0.581,28.43
29,Cameroon,1.560430107,1540.308611,0.563,25.69
30,Canada,3.733573635,43427.80805,0.922,-2.14
31,Central African Republic,0.335648148,435.209201,0.381,27.0
32,Central Asia,74.37,,,
33,Central and Southern Asia,70.57,,,
34,Chad,4.294921875,895.753966,0.401,28.02
35,Chile,8.982121089,13094.459432,0.847,9.79
36,China,41.518528797,10335.620387,0.758,8.03
37,Colombia,4.282896247,5307.215227,0.761,25.21
38,Comoros,0.833333333,1532.439122,0.538,25.87
39,Congo,0.027446301,1838.448108,0.609,25.96
40,Costa Rica,5.351672355,12132.877819,0.794,24.28
41,Croatia,1.462872388,14028.277563,0.837,13.28
42,Cuba,23.939446069,9499.590202,0.778,26.67
43,Cyprus,31.574630946,20208.098497,0.873,20.51
44,Czechia,20.772506083,23357.293371,0.891,9.48
45,Côte d'Ivoire,5.087565674,2288.11948,0.516,27.52
46,Democratic People's Republic of Korea,27.740467799,612.637164,,8.43
47,Democratic Republic of the Congo,0.226883505,487.949476,0.459,25.33
48,Denmark,26.40427258,60975.684822,0.93,9.57
49,Djibouti,6.333333333,3140.337942,0.495,29.4
50,Dominica,10.0,7036.805539,0.724,26.26
51,Dominican Republic,39.553314121,7167.914932,0.745,25.21
52,Eastern Asia,44.06,,,
53,Eastern and South-Eastern Asia,30.4,,,
54,Ecuador,6.782352941,5645.19929,0.758,21.89
55,Egypt,141.16575592,3457.211063,0.7,23.93
56,El Salvador,13.212726139,3903.395116,0.667,27.11
57,Equatorial Guinea,0.183503244,6279.165558,0.588,25.07
58,Eritrea,11.175115207,586.05306,0.434,27.92
59,Estonia,9.231085498,23596.628041,0.882,7.14
60,Eswatini,77.559912854,3364.860561,0.608,21.2
61,Ethiopia,32.257186544,824.390268,0.47,24.21
62,Europe,8.39,,,
63,Europe and Northern America,12.46,,,
64,Fiji,0.29737303,4864.106002,0.724,25.22
65,Finland,7.114062129,49171.419095,0.925,7.83
66,France,21.598137074,40927.520671,0.891,12.21
67,Gabon,0.502166065,6681.100968,0.702,25.74
68,Gambia,2.209656372,704.030458,0.466,28.99
69,Georgia,5.386710098,4207.853147,0.786,9.23
70,Germany,35.351657072,46678.460742,0.939,10.2
71,Ghana,6.314734089,2176.576218,0.596,28.32
72,Greece,20.477442849,17972.015448,0.872,16.05
73,Grenada,7.05,8437.549623,0.763,27.02
74,Guatemala,5.742097081,4470.843195,0.651,24.04
75,Guinea,1.369230769,1073.654887,0.466,27.23
76,Guinea-Bissau,1.495726496,692.79821,0.461,28.72
77,Guyana,3.298401827,6863.092394,0.67,26.68
78,Haiti,13.383791767,1463.522851,0.503,26.1
79,Honduras,4.621268764,2354.12148,0.623,24.83
80,Hungary,8.070120898,16120.288038,0.845,12.52
81,Iceland,0.394075282,59166.91842,0.938,1.98
82,India,66.492092832,1913.655366,0.647,24.98
83,Indonesia,29.696545285,3894.272211,0.707,26.15
84,Iran (Islamic Republic of),81.289081289,6228.127101,0.797,18.95
85,Iraq,63.258426966,4251.337242,0.689,23.85
86,Ireland,21.685393258,86098.268784,0.942,10.44
87,Israel,110.085411095,46486.025218,0.906,21.45
88,Italy,29.645783769,31877.930163,0.883,14.0
89,Jamaica,11.046430785,4897.26587,0.726,26.5
90,Japan,36.045977011,40242.064528,0.915,13.15
91,Jordan,106.049396389,3998.380332,0.723,20.32
92,Kazakhstan,34.098474341,9014.183026,0.817,7.8
93,Kenya,33.239901072,1943.103391,0.579,26.13
94,Kuwait,3850.5,24297.701152,0.808,27.14
95,Kyrgyzstan,50.03895598,1211.054607,0.674,1.54
96,Land Locked Developing Countries,15.12,,,
97,Lao People's Democratic Republic,4.791395046,2611.685607,0.604,24.18
98,Latin America and the Caribbean,6.01,,,
99,Latvia,1.067831467,18239.742674,0.854,7.56
100,Least Developed Countries,7.06,,,
101,Lebanon,58.792991564,6895.234184,0.73,16.47
102,Lesotho,2.565905097,938.7011,0.518,12.55
103,Liberia,0.264311594,487.636028,0.465,26.45
104,Libya,817.142857143,7039.725253,0.708,23.16
105,Lithuania,1.834102379,20156.468483,0.869,8.07
106,Luxembourg,3.963515755,117374.220597,0.909,10.12
107,Madagascar,11.261506276,462.568583,0.521,23.59
108,Malawi,17.504838085,607.026409,0.485,23.13
109,Malaysia,3.439487179,10150.830863,0.804,26.65
110,Maldives,15.666666667,7282.37292,0.719,27.62
111,Mali,8.00308642,822.906138,0.427,29.55
112,Malta,81.597299802,29175.581984,0.885,20.27
113,Mauritania,13.246217332,1868.468248,0.527,28.54
114,Mauritius,22.064703744,8782.730909,0.796,24.26
115,Mexico,44.817024343,8654.997327,0.767,22.1
116,Mongolia,3.395007342,4041.174146,0.735,2.36
117,Morocco,50.751212019,3307.484197,0.676,19.45
118,Mozambique,1.751486326,454.062364,0.446,25.03
119,Myanmar,5.801501397,1465.993362,0.584,24.49
120,Namibia,0.861552567,4243.569032,0.645,22.56
121,Nepal,8.311832662,1069.92371,0.579,13.22
122,Netherlands (Kingdom of the),16.803560591,52183.342926,0.934,11.06
123,New Zealand,8.04808476,41930.089942,0.921,11.12
124,Nicaragua,2.220900209,1863.107439,0.651,26.57
125,Niger,11.020937713,564.821997,0.377,28.26
126,Nigeria,9.668217054,2063.572797,0.534,28.09
127,North Macedonia,38.335793804,5738.548212,0.759,
128,Northern Africa,120.55,,,
129,Northern Africa and Western Asia,81.51,,,
130,Northern America,20.19,,,
131,Norway,2.041311754,67325.122257,0.954,3.0
132,Oceania,2.75,,,
133,Oceania (excluding Australia and New Zealand),0.16,,,
134,Oman,116.714285714,16707.622995,0.834,28.68
135,Pakistan,116.305748114,1292.941949,0.56,21.51
136,Palestine,50.26387106,3094.333368,0.69,
137,Panama,0.90107111,12569.180159,0.795,26.05
138,Papua New Guinea,0.132242833,2446.084695,0.543,24.47
139,Paraguay,1.835399711,5353.34805,0.724,25.24
140,Peru,7.181445604,6056.272513,0.759,20.19
141,Philippines,26.743280092,3224.422811,0.712,26.67
142,Poland,30.0,15598.966232,0.872,9.59
143,Portugal,12.315712276,22240.006838,0.85,16.24
144,Puerto Rico,19.535610627,31489.61781,,
145,Qatar,431.034482759,52315.660062,0.848,28.29
146,Republic of Korea,85.221833041,31716.127245,0.906,13.59
147,Republic of Moldova,12.563112563,3844.511751,0.711,11.42
148,Romania,6.924445277,12928.81611,0.816,11.17
149,Russian Federation,4.122242749,10227.916473,0.824,-2.5
150,Rwanda,20.198675497,774.715912,0.536,20.29
151,Saint Kitts and Nevis,50.833333333,18566.017846,0.777,26.74
152,Saint Lucia,14.3,9020.314299,0.745,27.32
153,Saint Vincent and the Grenadines,7.9,8335.244794,0.728,26.94
154,Sao Tome and Principe,1.876146789,2179.19863,0.609,26.19
155,Saudi Arabia,974.166666667,19539.558404,0.857,26.52
156,Senegal,16.276448698,1490.525247,0.514,29.83
157,Serbia,5.990082272,7248.57083,0.799,12.43
158,Sierra Leone,0.495794393,493.432252,0.438,27.19
159,Singapore,83.116666667,58425.23858,0.935,27.65
160,Slovakia,2.388123924,19553.42975,0.857,9.7
161,Slovenia,6.781609195,25361.617026,0.902,11.05
162,Small Island Developing States,3.66,,,
163,Somalia,24.527740592,416.232388,,27.7
164,South Africa,65.033621518,5741.641249,0.705,19.1
165,South Sudan,4.226075787,397.457502,0.413,
166,South-eastern Asia,20.49,,,
167,Southern Asia,77.49,,,
168,Spain,43.25403923,26960.727333,0.893,15.0
169,Sri Lanka,90.785413745,3728.73161,0.78,27.49
170,Sub-Saharan Africa,6.26,,,
171,Sudan,118.656387665,1078.253107,0.508,28.11
172,Suriname,3.950609365,6851.18542,0.724,27.37
173,Sweden,3.582972583,52758.781919,0.937,4.55
174,Switzerland,6.498855835,87079.725148,0.946,6.27
175,Syrian Arab Republic,124.360138926,1117.247318,0.549,20.06
176,Tajikistan,69.943264283,852.33023,0.656,1.1
177,Thailand,23.013935183,6998.537376,0.765,27.41
178,Timor-Leste,28.268210323,1463.203178,0.626,25.48
179,Togo,3.391634981,868.895634,0.513,27.95
180,Trinidad and Tobago,20.326481258,13871.798218,0.799,27.09
181,Tunisia,98.113399182,3497.733231,0.739,21.2
182,Turkmenistan,135.213807316,7381.050058,0.71,17.47
183,Türkiye,47.163128575,8561.064333,0.807,12.78
184,Uganda,5.82799634,857.136026,0.528,23.88
185,Ukraine,12.255765742,3566.816468,0.75,10.08
186,United Arab Emirates,1587.333333333,38463.161995,0.866,28.74
187,United Kingdom of Great Britain and Northern Ireland,14.354646206,40331.499767,0.92,9.95
188,United Republic of Tanzania,12.96324081,1097.599466,0.528,23.76
189,United States of America,28.16198427,62690.80321,0.92,11.26
190,Uruguay,9.786096257,15619.545754,0.808,18.32
191,Uzbekistan,143.260682535,1786.468211,0.71,14.28
192,Venezuela (Bolivarian Republic of),7.540366667,3738.051589,0.726,26.82
193,Viet Nam,18.130315379,2805.609177,0.693,24.92
194,Western Asia,65.43,,,
195,World,18.23,,,
196,Yemen,169.761904762,291.679074,0.463,26.21
197,Zambia,2.835497836,956.831748,0.591,23.23
198,Zimbabwe,46.091620306,1382.591426,0.563,22.55
